Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Adj Close,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,IRX_Open,IRX_High,IRX_Low,IRX_Close,IRX_Adj Close
2021-06-11,126.529999,127.440002,126.099998,127.349998,125.874916,53522400.0,167.482498,168.328995,166.672501,167.341507,167.341507,56348000.0,257.98999,258.48999,256.609985,257.890015,253.352341,18999700.0,4242.899902,4248.379883,4232.25,4247.439941,4247.439941,3815010000.0,16.18,16.200001,15.15,15.65,15.65,0.018,0.018,0.015,0.018,0.018
2021-06-14,127.82,130.539993,127.07,130.479996,128.968674,96906500.0,167.341507,169.25,166.774994,169.193497,169.193497,51394000.0,257.899994,259.950012,256.799988,259.890015,255.317123,19150500.0,4248.310059,4255.589844,4234.069824,4255.149902,4255.149902,4151200000.0,16.040001,17.040001,15.04,16.389999,16.389999,0.018,0.02,0.015,0.015,0.015
2021-06-15,129.940002,130.600006,129.389999,129.639999,128.138397,62746300.0,169.199997,169.849503,168.155502,169.156494,169.156494,48524000.0,259.769989,259.98999,257.679993,258.359985,253.81398,18038900.0,4255.279785,4257.160156,4238.350098,4246.589844,4246.589844,4048940000.0,16.27,17.35,16.139999,17.02,17.02,0.02,0.02,0.015,0.02,0.02
2021-06-16,130.369995,130.889999,128.460007,130.149994,128.642487,91815000.0,169.600006,171.317505,168.026505,170.762497,170.762497,84056000.0,259.399994,260.579987,254.419998,257.380005,252.851257,27220000.0,4248.870117,4251.890137,4202.450195,4223.700195,4223.700195,4538350000.0,16.99,19.110001,16.42,18.15,18.15,0.02,0.035,0.005,0.028,0.028
2021-06-17,129.800003,132.550003,129.649994,131.789993,130.263504,96721700.0,170.158997,174.860001,170.050003,174.462006,174.462006,102730000.0,256.070007,261.75,256.01001,260.899994,256.309326,27565500.0,4220.370117,4232.290039,4196.049805,4221.859863,4221.859863,5312680000.0,18.49,19.219999,16.709999,17.75,17.75,0.03,0.03,0.028,0.028,0.028
2021-06-18,130.710007,131.509995,130.240005,130.460007,128.948914,108953300.0,173.999496,175.350006,173.685501,174.345001,174.345001,104954000.0,259.630005,262.299988,258.75,259.429993,254.865173,37202200.0,4204.779785,4204.779785,4164.399902,4166.450195,4166.450195,6817010000.0,16.959999,21.040001,16.92,20.700001,20.700001,0.028,0.03,0.028,0.028,0.028
2021-06-21,130.300003,132.410004,129.210007,132.300003,130.767593,79663300.0,173.820999,174.100006,171.699997,172.697998,172.697998,65542000.0,259.820007,263.519989,257.920013,262.630005,258.008881,26696100.0,4173.399902,4226.240234,4173.399902,4224.790039,4224.790039,4128950000.0,21.74,21.82,17.809999,17.889999,17.889999,0.03,0.033,0.03,0.03,0.03
2021-06-22,132.130005,134.080002,131.619995,133.979996,132.428116,74783600.0,172.903,176.188995,172.804504,175.272003,175.272003,66902000.0,262.720001,265.790009,262.399994,265.51001,260.838257,24694100.0,4224.609863,4255.839844,4217.27002,4246.439941,4246.439941,3828390000.0,17.91,18.32,15.76,16.66,16.66,0.035,0.038,0.035,0.038,0.038
2021-06-23,133.770004,134.320007,133.229996,133.699997,132.151382,60214200.0,175.25,176.050003,174.160004,175.190994,175.190994,56266000.0,265.98999,266.829987,264.429993,265.269989,260.602448,19518700.0,4249.27002,4256.600098,4241.430176,4241.839844,4241.839844,3730350000.0,16.25,16.84,14.86,16.32,16.32,0.035,0.04,0.03,0.04,0.04
2021-06-24,134.449997,134.639999,132.929993,133.410004,131.864746,68711000.0,175.382004,176.242996,171.542496,172.453995,172.453995,76640000.0,266.160004,267.850006,265.470001,266.690002,261.997437,21446900.0,4256.970215,4271.279785,4256.970215,4266.490234,4266.490234,3816660000.0,15.99,16.049999,14.19,15.97,15.97,0.038,0.043,0.038,0.043,0.043
